"select_Adress","select_Rooms","select_m2","select_Price","select_Floor"
"Vesetas 6","4","171","593,300 €","2/7"
"Stabu 61","2","58","88,500 €","1/5"
"Blaumaņa 12","4","117","360,840 €","2/6"
"Stabu 61","1","89","170 €/mēn.","5/5"
"Mēness 23","3","62","135,000 €","5/6"
"Marijas 14A","1","21","56,650 €","6/6"
"Tērbatas 59/61","4","99","180,000 €","1/7"
"Brīvības 62","2","110","490 €/mēn.","5/5"
"Barona 21","1","40","29 €/dienā","4/5"
"Barona 80","1","35","250 €/mēn.","1/5"
"Bruņinieku 78","2","40","330 €/mēn.","5/5"
"Čaka 83","2","59","369 €/mēn.","3/6"
"Barona 14","4","113","210,000 €","2/5"
"Ģertrūdes 31","3","72","790 €/mēn.","2/5"
"Alauksta 9","3","110","210,000 €","3/6"
"Brīvības 132","Citi","165","169,000 €","2/3"
"Stabu 81","4","110","114,600 €","1/5"
"Rūpniecības 50","4","138","350,000 €","7/7"
"Vesetas 26","2","40","600 €/mēn.","6/10"
"Republikas laukums..","3","78","800 €/mēn.","5/7"
"Grostonas 21","3","85","990 €/mēn.","4/5"
"Lugažu 14a","3","86","145,000 €","3/3"
"Ganību d. 13","2","45","440 €/mēn.","4/6"
"Dzirnavu 6","2","56","600 €/mēn.","2/4"
"Baznīcas 13","3","134","900 €/mēn.","6/6"
"Brīvības 74","5","145","220,000 €","6/6"
"Brīvības 152","4","126","900 €/mēn.","6/8"
"Brīvības 39A","5","110","250,000 €","3/5"
"Ģertrūdes 86","1","30","290 €/mēn.","2/5"
"Rūpniecības 21k2","5","160","1,700 €/mēn.","7/7"
"Lāčplēša 47","3","94","600 €/mēn.","4/5"
"Lāčplēša 61","4","112","400 €/mēn.","5/6"
"Rūpniecības 21k2","5","161","595,000 €","7/7"
"Krasta 66","2","41","200 €/mēn.","2/5"
"Miera 58","3","60","125,000 €","1/2"
"Pulkv. Brieža 11/1..","3","91","259,000 €","3/6"
"Brīvības 148","2","30","50 €/dienā","2/5"
"Dzirnavu 6A","3","120","268,000 €","1/5"
"Matīsa 41","2","49","320 €/mēn.","5/5"
"Lāčplēša 109","4","80","430 €/mēn.","2/5"
"Elijas 20","1","40","30 €/dienā","1/1"
"Skanstes 29a","5","325","2,800 €/mēn.","24/24"
"Miera 32","2","38","31,000 €","1/2"
"Dzirnavu 89","6","178","180,000 €","1/4"
"Elizabetes 39","3","142","449,000 €","5/8"
"Dzirnavu 6","3","98","268,000 €","1/4"
"Blaumaņa 3","3","93","1,350 €/mēn.","6/6"
"Ganību d. 15A","1","33","57,500 €","3/6"
"Antonijas 15","2","36","350 €/mēn.","5/5"
"Indrānu 2","2","48","290 €/mēn.","4/5"
"Zirņu 6","1","15","180 €/mēn.","4/6"
"Sadovņikova 29A","3","77","175,000 €","5/6"
"Ģertrūdes 64","2","40","260 €/mēn.","3/5"
"Ausekļa 4","5","195","2,660 €/mēn.","7/7"
"Dzirnavu 134","3","77","639 €/mēn.","2/3"
"Barona 93","1","33","290 €/mēn.","4/6"
"Kungu 25","3","125","1,300 €/mēn.","2/5"
"Vīlandes 6","6","206","512,000 €","3/4"
"Laboratorijas 4","2","58","95,550 €","5/5"
"Blaumaņa 16","4","136","1,800 €/mēn.","4/6"
"Zvaigžņu 26","1","34","43,900 €","3/6"
"Čaka 110","2","63","99,000 €","2/6"
"Klijānu 16","1","20","230 €/mēn.","1/9"
"Bruņinieku 73A","2","55","450 €/mēn.","3/4"
"Marijas 14a","1","27","66,870 €","5/6"
"Eksporta 3","4","99","115,000 €","1/5"
"Brīvības 106A","2","45","380 €/mēn.","3/5"
"Skolas 4","3","120","250 €/mēn.","1/6"
"Bruņinieku 73E","2","48","59,000 €","5/5"
"Brīvības 108A","2","51","370 €/mēn.","4/7"
"Brīvības 110","3","76","800 €/mēn.","6/6"
"Tērbatas 63","4","82","600 €/mēn.","4/6"
"Brīvības 176","1","16","250 €/mēn.","1/3"
"Elijas 19","3","52","570 €/mēn.","4/5"
"Klijānu 20","1","38","45,000 €","2/9"
"Klusā 9","1","25","250 €/mēn.","1/5"
"Ģertrūdes 99","2","32","320 €/mēn.","5/6"
"Kalniņa 2","3","86","220,000 €","6/6"
"Valmieras 6","2","30","51,700 €","2/2"
"Ģertrūdes 81","2","35","400 €/mēn.","3/3"
"Tomsona 23","1","30","30 €/dienā","3/5"
"Valdemāra 41A","2","35","141,200 €","1/7"
"Valdemāra 41A","2","31","128,300 €","2/7"
"Valdemāra 41","3","80","303,200 €","1/7"
"Visvalža 3b","2","51","65,000 €","2/5"
"Bruņinieku 85","2","42","87,129 €","3/3"
"Zvaigžņu 22","1","34","250 €/mēn.","3/5"
"Vīlandes 10","4","155","1,085 €/mēn.","2/5"
"Brīvības 160","1","20","250 €/mēn.","3/4"
"Brīvības 108B","2","44","360 €/mēn.","5/7"
"Brīvības 174A","3","87","650 €/mēn.","3/3"
"Brīvības 179","2","27","265 €/mēn.","1/6"
"Ģertrūdes 27","2","45","490 €/mēn.","3/6"
"Pededzes 4","1","30","41,900 €","1/5"
"Rūpniecības 9","3","95","333,334 €","6/6"
"Vāgnera 12","3","67","199,850 €","2/3"
"Barona 78","3","75","157,000 €","1/5"
"Maskavas 65","1","29","220 €/mēn.","4/5"
"Stabu 116","2","32","420 €/mēn.","4/6"
"Eksporta 3","2","60","300 €/mēn.","5/5"
"Asara 9","3","85","220,000 €","5/7"
"Ganību d. 31B","2","51","66,500 €","1/6"
"Čaka 49","1","15","230 €/mēn.","1/6"
"Blaumaņa 26","4","84","165,000 €","3/6"
"Zaķu 6","1","31","18,000 €","2/2"
"Zvaigžņu 24","3","45","400 €/mēn.","7/7"
"Strēlnieku 4b","1","23","96,200 €","4/6"
"Strēlnieku 4B","1","23","94,500 €","2/6"
"Indrānu 4","3","63","92,000 €","4/4"
"Blaumaņa 9","3","90","1,600 €/mēn.","3/5"
"Hospitāļu 7","1","34","49,900 €","3/5"
"Dārzaugļu","1","-","vēlos
īret","2/6"
"Asara 12","2","50","600 €/mēn.","2/2"
"Duntes 28","2","63","550 €/mēn.","6/6"
"Katrīnas d. 33","1","37","240 €/mēn.","3/3"
